Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Loan_Status,EMI,Start_Date,End_Date
700030,1006,Home Loan,1494393,12.77,24,Active,62266.38,2024-10-01,2026-09-21
700031,1099,Business Loan,1748287,9.66,240,Closed,7284.53,2023-12-28,2043-09-14
700032,1166,Car Loan,4793747,12.71,12,Active,399478.92,2024-07-15,2025-07-10
700033,1127,Business Loan,4504797,8.33,60,Closed,75079.95,2025-04-07,2030-03-12
700034,1118,Home Loan,4606760,7.81,36,Active,127965.56,2025-07-14,2028-06-28
700035,1091,Business Loan,4254920,9.17,24,Default,177288.33,2024-12-24,2026-12-14
700036,1001,Personal Loan,4428112,12.01,60,Default,73801.87,2023-07-01,2028-06-04
700037,1056,Personal Loan,4224075,7.85,12,Closed,352006.25,2023-07-26,2024-07-20
700038,1091,Education Loan,1148586,12.23,240,Active,4785.77,2025-05-25,2045-02-09
700039,1028,Personal Loan,4294237,7.84,120,Active,35785.31,2023-12-28,2033-11-05
700040,1108,Education Loan,4431706,9.98,120,Default,36930.88,2022-05-28,2032-04-05
700041,1130,Education Loan,1539765,11.49,24,Default,64156.88,2023-11-07,2025-10-27
700042,1102,Home Loan,875644,11.93,240,Active,3648.52,2025-01-06,2044-09-23
700043,1141,Car Loan,778964,14.71,24,Active,32456.83,2022-06-10,2024-05-30
700044,1059,Personal Loan,2303005,13.13,12,Active,191917.08,2025-11-02,2026-10-28
700045,1016,Education Loan,1505693,12.26,24,Default,62737.21,2021-12-23,2023-12-13
700046,1105,Education Loan,1311459,7.73,36,Closed,36429.42,2024-12-10,2027-11-25
700047,1084,Business Loan,2411557,13.84,120,Closed,20096.31,2024-08-22,2034-07-01
700048,1058,Home Loan,695562,11.58,60,Active,11592.7,2022-02-03,2027-01-08
700049,1160,Personal Loan,2131341,12.7,12,Active,177611.75,2026-01-31,2027-01-26
700050,1053,Car Loan,191791,12.49,24,Default,7991.29,2023-02-10,2025-01-30
700051,1139,Personal Loan,2054982,9.46,36,Closed,57082.83,2025-08-04,2028-07-19
700052,1092,Home Loan,4765072,14.08,24,Default,198544.67,2024-04-02,2026-03-23
700053,1072,Car Loan,3876269,11.04,240,Default,16151.12,2025-05-02,2045-01-17
700054,1105,Personal Loan,3680794,10.38,60,Default,61346.57,2024-07-27,2029-07-01
700055,1018,Home Loan,3437072,10.17,120,Default,28642.27,2021-11-25,2031-10-04
700056,1143,Car Loan,1112997,13.42,36,Default,30916.58,2025-04-27,2028-04-11
700057,1069,Home Loan,681934,8.21,240,Closed,2841.39,2023-06-08,2043-02-23
700058,1126,Education Loan,3921092,13.79,12,Active,326757.67,2023-10-02,2024-09-26
700059,1114,Car Loan,1960700,9.1,120,Closed,16339.17,2024-07-12,2034-05-21
700060,1037,Personal Loan,2692693,12.38,12,Active,224391.08,2021-08-06,2022-08-01
700061,1068,Personal Loan,4187682,7.7,240,Active,17448.67,2026-02-21,2045-11-08
700062,1054,Personal Loan,1837166,12.47,60,Closed,30619.43,2026-03-06,2031-02-08
700063,1160,Education Loan,2659176,8.46,240,Default,11079.9,2024-07-22,2044-04-08
700064,1010,Business Loan,1543547,8.16,36,Closed,42876.31,2023-06-27,2026-06-11
700065,1125,Personal Loan,556049,11.22,60,Default,9267.48,2025-09-08,2030-08-13
700066,1074,Home Loan,3869812,9.82,24,Closed,161242.17,2023-07-28,2025-07-17
700067,1063,Personal Loan,4347851,7.53,36,Closed,120773.64,2021-08-29,2024-08-13
700068,1175,Education Loan,1744149,10.53,120,Default,14534.58,2024-06-21,2034-04-30
700069,1011,Car Loan,4348477,11.19,36,Default,120791.03,2024-12-25,2027-12-10
700070,1087,Home Loan,3720233,9.7,24,Active,155009.71,2023-12-07,2025-11-26
700071,1152,Home Loan,1437279,13.16,36,Default,39924.42,2023-05-11,2026-04-25
700072,1023,Education Loan,873040,13.96,60,Default,14550.67,2023-02-24,2028-01-29
700073,1096,Education Loan,2347432,11.46,36,Default,65206.44,2022-05-17,2025-05-01
700074,1159,Home Loan,531911,11.61,240,Active,2216.3,2026-03-21,2045-12-06
700075,1097,Home Loan,1309271,14.56,60,Active,21821.18,2023-07-01,2028-06-04
700076,1002,Car Loan,786373,11.18,120,Closed,6553.11,2023-07-18,2033-05-26
700077,1126,Home Loan,368329,11.37,36,Active,10231.36,2021-08-07,2024-07-22
700078,1062,Home Loan,4956378,14.08,12,Active,413031.5,2024-02-09,2025-02-03
700079,1125,Business Loan,1874313,12.99,240,Default,7809.64,2023-03-27,2042-12-12
700080,1125,Car Loan,2073258,7.8,240,Closed,8638.58,2023-06-21,2043-03-08
700081,1149,Home Loan,575337,7.82,24,Active,23972.38,2022-05-30,2024-05-19
700082,1025,Business Loan,1839510,11.18,12,Active,153292.5,2022-12-22,2023-12-17
700083,1144,Education Loan,2315754,7.92,24,Active,96489.75,2024-01-20,2026-01-09
700084,1165,Education Loan,1216281,13.23,12,Default,101356.75,2022-12-16,2023-12-11
700085,1155,Home Loan,1202645,8.32,12,Default,100220.42,2025-11-12,2026-11-07
700086,1168,Home Loan,620412,10.98,120,Active,5170.1,2025-08-10,2035-06-19
700087,1175,Car Loan,2575132,10.53,60,Closed,42918.87,2023-01-30,2028-01-04
700088,1100,Car Loan,3769666,7.89,240,Closed,15706.94,2025-03-01,2044-11-16
700089,1150,Education Loan,3421016,10.48,24,Default,142542.33,2025-06-01,2027-05-22
700090,1069,Personal Loan,3084637,10.45,12,Active,257053.08,2025-06-05,2026-05-31
700091,1120,Home Loan,408894,8.31,240,Default,1703.72,2026-05-22,2046-02-06
700092,1138,Personal Loan,4838440,11.34,24,Active,201601.67,2024-09-07,2026-08-28
700093,1176,Personal Loan,839558,12.48,240,Active,3498.16,2025-04-07,2044-12-23
700094,1118,Education Loan,2204231,14.32,12,Default,183685.92,2025-02-05,2026-01-31
700095,1100,Home Loan,1852121,9.01,120,Default,15434.34,2026-05-29,2036-04-06
700096,1099,Personal Loan,1294847,10.16,60,Active,21580.78,2025-08-14,2030-07-19
700097,1174,Business Loan,4769176,11.57,60,Active,79486.27,2026-03-01,2031-02-03
700098,1098,Business Loan,4435671,12.56,24,Active,184819.62,2025-01-11,2027-01-01
700099,1093,Education Loan,3392085,9.38,12,Active,282673.75,2021-12-05,2022-11-30
700100,1110,Education Loan,2680844,14.68,240,Closed,11170.18,2025-12-22,2045-09-08
700101,1068,Home Loan,4819489,8.62,240,Default,20081.2,2025-04-24,2045-01-09
700102,1010,Car Loan,4335816,13.78,12,Default,361318.0,2026-02-22,2027-02-17
700103,1125,Business Loan,3488929,10.04,36,Default,96914.69,2023-02-08,2026-01-23
700104,1150,Home Loan,2915100,10.14,24,Default,121462.5,2022-03-15,2024-03-04
700105,1161,Business Loan,217641,13.07,120,Closed,1813.67,2022-12-31,2032-11-08
700106,1014,Home Loan,432330,13.01,24,Default,18013.75,2024-08-17,2026-08-07
700107,1143,Education Loan,679020,9.36,240,Closed,2829.25,2023-06-17,2043-03-04
700108,1010,Home Loan,980964,13.87,120,Default,8174.7,2024-11-09,2034-09-18
700109,1175,Education Loan,3569634,8.71,240,Default,14873.48,2024-06-26,2044-03-13
700110,1136,Personal Loan,3994676,11.25,24,Default,166444.83,2024-03-05,2026-02-23
700111,1032,Car Loan,1522020,14.11,120,Active,12683.5,2026-06-28,2036-05-06
700112,1141,Education Loan,4353445,14.03,240,Closed,18139.35,2022-03-31,2041-12-16
700113,1015,Car Loan,2020461,14.79,12,Active,168371.75,2025-11-11,2026-11-06
700114,1179,Business Loan,1920545,11.36,24,Closed,80022.71,2022-04-28,2024-04-17
700115,1032,Education Loan,2117387,8.85,36,Default,58816.31,2023-06-27,2026-06-11
700116,1153,Business Loan,167653,8.45,12,Active,13971.08,2022-04-05,2023-03-31
700117,1048,Home Loan,4828248,12.59,240,Active,20117.7,2025-08-29,2045-05-16
700118,1158,Business Loan,4292203,7.81,120,Closed,35768.36,2025-01-23,2034-12-02
700119,1073,Home Loan,1261391,10.55,36,Default,35038.64,2021-09-19,2024-09-03
700120,1127,Car Loan,3754479,10.4,24,Closed,156436.62,2026-06-03,2028-05-23
700121,1094,Home Loan,1181626,9.02,12,Default,98468.83,2026-01-12,2027-01-07
700122,1089,Business Loan,1094545,7.94,120,Default,9121.21,2024-01-11,2033-11-19
700123,1049,Personal Loan,2975830,9.44,12,Default,247985.83,2023-09-23,2024-09-17
700124,1066,Education Loan,472791,8.78,240,Active,1969.96,2026-01-02,2045-09-19
700125,1117,Education Loan,4164015,14.43,36,Default,115667.08,2024-07-03,2027-06-18
700126,1027,Personal Loan,4050548,13.8,120,Closed,33754.57,2021-08-08,2031-06-17
700127,1083,Car Loan,3536127,11.41,240,Default,14733.86,2024-09-27,2044-06-14
700128,1171,Car Loan,80278,11.05,120,Active,668.98,2022-12-28,2032-11-05
700129,1079,Car Loan,2097217,13.5,120,Active,17476.81,2022-04-27,2032-03-05
700130,1130,Home Loan,4759657,8.68,12,Default,396638.08,2026-04-03,2027-03-29
700131,1159,Personal Loan,1918861,13.46,120,Active,15990.51,2021-10-23,2031-09-01
700132,1161,Car Loan,1308213,11.66,240,Active,5450.89,2024-07-01,2044-03-18
700133,1046,Car Loan,2979378,12.44,24,Closed,124140.75,2022-07-13,2024-07-02
700134,1121,Personal Loan,4713618,10.59,60,Default,78560.3,2026-07-07,2031-06-11
700135,1136,Business Loan,1779661,11.93,120,Closed,14830.51,2023-09-02,2033-07-11
700136,1028,Home Loan,2474830,9.05,12,Active,206235.83,2024-03-19,2025-03-14
700137,1083,Personal Loan,1164902,12.91,240,Closed,4853.76,2024-07-06,2044-03-23
700138,1018,Personal Loan,2099832,12.29,60,Active,34997.2,2025-05-17,2030-04-21
700139,1098,Personal Loan,3013275,12.57,60,Default,50221.25,2026-07-16,2031-06-20
700140,1020,Business Loan,3738096,13.01,12,Active,311508.0,2022-10-29,2023-10-24
700141,1121,Education Loan,2285008,14.51,36,Closed,63472.44,2023-10-09,2026-09-23
700142,1128,Home Loan,1304495,10.6,120,Default,10870.79,2024-10-03,2034-08-12
700143,1040,Car Loan,3125052,7.8,12,Closed,260421.0,2023-02-16,2024-02-11
700144,1011,Business Loan,4818415,9.98,12,Closed,401534.58,2026-05-30,2027-05-25
700145,1144,Car Loan,4920666,14.25,240,Closed,20502.78,2023-11-03,2043-07-21
700146,1035,Business Loan,3110750,14.52,24,Active,129614.58,2022-01-06,2023-12-27
700147,1022,Car Loan,1285649,12.42,12,Active,107137.42,2023-03-24,2024-03-18
700148,1161,Education Loan,4403751,11.6,120,Closed,36697.93,2024-08-27,2034-07-06
700149,1172,Education Loan,1659759,7.93,24,Default,69156.62,2025-09-01,2027-08-22
700150,1176,Car Loan,1407706,13.73,120,Active,11730.88,2025-04-15,2035-02-22
700151,1077,Home Loan,1529451,13.03,120,Default,12745.42,2022-03-27,2032-02-03
700152,1173,Car Loan,2516517,14.96,240,Default,10485.49,2024-01-13,2043-09-30
700153,1145,Education Loan,3989526,13.83,120,Closed,33246.05,2022-06-23,2032-05-01
700154,1102,Car Loan,612101,14.89,60,Default,10201.68,2024-10-12,2029-09-16
700155,1127,Business Loan,2859301,12.57,36,Active,79425.03,2024-11-05,2027-10-21
700156,1026,Personal Loan,2402947,14.55,240,Closed,10012.28,2021-10-25,2041-07-12
700157,1054,Personal Loan,271609,13.89,24,Closed,11317.04,2022-12-03,2024-11-22
700158,1105,Personal Loan,4658987,7.56,36,Active,129416.31,2021-11-22,2024-11-06
700159,1145,Business Loan,51898,13.93,12,Default,4324.83,2024-08-21,2025-08-16
700160,1085,Business Loan,419510,11.42,36,Default,11653.06,2025-09-14,2028-08-29
700161,1179,Car Loan,2028906,8.5,12,Default,169075.5,2022-10-12,2023-10-07
700162,1151,Home Loan,1067415,9.76,120,Closed,8895.12,2021-08-21,2031-06-30
700163,1019,Car Loan,4175061,8.36,60,Active,69584.35,2025-04-02,2030-03-07
700164,1164,Home Loan,897441,10.98,36,Default,24928.92,2023-05-23,2026-05-07
700165,1016,Car Loan,4118803,7.94,120,Active,34323.36,2024-02-23,2034-01-01
700166,1118,Car Loan,3859223,9.11,24,Active,160800.96,2024-07-11,2026-07-01
700167,1011,Personal Loan,4644746,7.98,60,Default,77412.43,2026-08-01,2031-07-06
700168,1089,Home Loan,2353562,7.62,24,Closed,98065.08,2025-04-06,2027-03-27
700169,1085,Business Loan,4813501,8.67,12,Default,401125.08,2024-10-27,2025-10-22
700170,1175,Education Loan,4896647,8.86,60,Default,81610.78,2023-07-26,2028-06-29
700171,1123,Business Loan,2973206,14.3,24,Active,123883.58,2023-01-13,2025-01-02
700172,1061,Education Loan,4610301,7.6,36,Closed,128063.92,2025-08-25,2028-08-09
700173,1051,Car Loan,4291653,10.98,240,Active,17881.89,2022-04-29,2042-01-14
700174,1070,Personal Loan,2928279,9.0,60,Closed,48804.65,2023-05-31,2028-05-04
700175,1102,Personal Loan,3786457,8.16,240,Default,15776.9,2026-01-12,2045-09-29
700176,1076,Home Loan,4599884,12.55,60,Default,76664.73,2025-02-23,2030-01-28
700177,1057,Education Loan,960991,10.85,120,Closed,8008.26,2024-06-06,2034-04-15
700178,1150,Personal Loan,3442513,8.19,240,Default,14343.8,2023-12-06,2043-08-23
700179,1103,Business Loan,450950,12.69,60,Default,7515.83,2024-03-01,2029-02-03
700180,1027,Education Loan,4279786,14.55,36,Active,118882.94,2022-04-30,2025-04-14
700181,1063,Business Loan,2176964,10.09,120,Active,18141.37,2023-03-30,2033-02-05
700182,1085,Personal Loan,1661205,8.23,36,Closed,46144.58,2022-05-14,2025-04-28
700183,1069,Business Loan,2038292,13.14,36,Default,56619.22,2023-11-06,2026-10-21
700184,1107,Business Loan,63611,8.57,120,Closed,530.09,2023-06-08,2033-04-16
700185,1011,Education Loan,1855558,10.28,12,Closed,154629.83,2023-12-30,2024-12-24
700186,1031,Home Loan,3478477,10.32,24,Closed,144936.54,2021-10-28,2023-10-18
700187,1035,Personal Loan,4781750,9.85,12,Active,398479.17,2023-01-12,2024-01-07
700188,1157,Car Loan,718471,12.63,120,Closed,5987.26,2023-12-31,2033-11-08
700189,1111,Education Loan,3729764,9.07,12,Active,310813.67,2024-06-04,2025-05-30
700190,1062,Home Loan,2773001,14.25,240,Default,11554.17,2025-07-13,2045-03-30
700191,1093,Car Loan,161747,8.45,12,Active,13478.92,2024-03-04,2025-02-27
700192,1027,Car Loan,3460532,14.01,24,Closed,144188.83,2024-08-03,2026-07-24
700193,1114,Personal Loan,2578142,13.6,240,Active,10742.26,2021-11-23,2041-08-10
700194,1088,Personal Loan,2327568,11.81,240,Default,9698.2,2024-07-13,2044-03-30
700195,1053,Home Loan,237595,10.6,36,Default,6599.86,2026-06-08,2029-05-23
700196,1133,Business Loan,4328107,14.81,240,Active,18033.78,2025-05-10,2045-01-25
700197,1146,Business Loan,353721,13.32,12,Closed,29476.75,2022-06-08,2023-06-03
700198,1145,Car Loan,2471147,11.0,120,Closed,20592.89,2023-12-14,2033-10-22
700199,1033,Business Loan,977757,8.97,60,Closed,16295.95,2021-11-17,2026-10-22
700200,1171,Home Loan,4978727,12.36,12,Active,414893.92,2025-10-25,2026-10-20
700201,1051,Car Loan,1020344,8.14,24,Default,42514.33,2023-06-30,2025-06-19
700202,1027,Personal Loan,825477,7.56,36,Active,22929.92,2026-06-24,2029-06-08
700203,1146,Personal Loan,2544005,12.67,24,Default,106000.21,2023-05-22,2025-05-11
700204,1146,Home Loan,3838770,9.53,12,Closed,319897.5,2023-10-05,2024-09-29
700205,1164,Education Loan,2324656,9.38,24,Closed,96860.67,2025-10-06,2027-09-26
700206,1019,Home Loan,4898029,9.78,60,Closed,81633.82,2025-01-23,2029-12-28
700207,1090,Business Loan,74685,14.06,12,Active,6223.75,2025-07-05,2026-06-30
700208,1123,Education Loan,3804185,11.42,60,Active,63403.08,2025-06-29,2030-06-03
700209,1150,Home Loan,3835963,8.09,240,Default,15983.18,2022-08-18,2042-05-05
700210,1041,Car Loan,3797729,9.85,24,Active,158238.71,2021-11-23,2023-11-13
700211,1131,Personal Loan,3098807,8.6,12,Closed,258233.92,2024-06-26,2025-06-21
700212,1125,Car Loan,2156341,8.41,60,Default,35939.02,2024-07-08,2029-06-12
700213,1022,Business Loan,2483901,11.66,24,Active,103495.88,2024-11-29,2026-11-19
700214,1159,Education Loan,2810708,12.41,120,Default,23422.57,2024-06-14,2034-04-23
700215,1171,Education Loan,4590253,8.73,12,Default,382521.08,2026-04-07,2027-04-02
700216,1059,Personal Loan,78019,9.63,12,Default,6501.58,2024-02-04,2025-01-29
700217,1131,Business Loan,670032,13.59,12,Active,55836.0,2023-04-10,2024-04-04
700218,1070,Education Loan,708389,8.37,12,Active,59032.42,2023-11-20,2024-11-14
700219,1062,Personal Loan,4780711,10.74,24,Active,199196.29,2024-12-16,2026-12-06
700220,1129,Car Loan,3578071,7.82,120,Active,29817.26,2022-08-01,2032-06-09
700221,1044,Education Loan,3603119,9.23,36,Default,100086.64,2021-11-28,2024-11-12
700222,1010,Personal Loan,221001,11.99,24,Default,9208.38,2024-12-10,2026-11-30
700223,1096,Personal Loan,1556433,11.22,36,Closed,43234.25,2026-06-30,2029-06-14
700224,1117,Car Loan,3187111,8.85,36,Closed,88530.86,2023-05-04,2026-04-18
700225,1137,Education Loan,3564758,10.87,60,Active,59412.63,2022-04-15,2027-03-20
700226,1106,Home Loan,3422850,10.46,120,Default,28523.75,2023-07-02,2033-05-10
700227,1006,Education Loan,3001635,13.34,240,Active,12506.81,2023-09-29,2043-06-16
700228,1095,Education Loan,3208252,12.07,24,Active,133677.17,2026-01-27,2028-01-17
700229,1176,Car Loan,411109,14.14,24,Closed,17129.54,2025-04-03,2027-03-24
700230,1163,Business Loan,3298353,10.67,24,Closed,137431.38,2024-12-18,2026-12-08
700231,1021,Car Loan,3822706,11.53,36,Active,106186.28,2022-05-27,2025-05-11
700232,1172,Car Loan,3996604,13.4,240,Closed,16652.52,2024-08-24,2044-05-11
700233,1040,Personal Loan,1186774,14.94,120,Closed,9889.78,2024-10-08,2034-08-17
700234,1111,Education Loan,3177935,8.16,60,Closed,52965.58,2024-11-29,2029-11-03
700235,1028,Education Loan,2870727,12.02,24,Closed,119613.62,2023-08-29,2025-08-18
700236,1077,Home Loan,2966151,8.11,120,Closed,24717.92,2026-05-20,2036-03-28
700237,1093,Home Loan,1390989,8.89,60,Closed,23183.15,2025-01-23,2029-12-28
700238,1102,Education Loan,3054302,14.0,240,Default,12726.26,2026-06-05,2046-02-20
700239,1069,Home Loan,4509173,13.33,60,Closed,75152.88,2023-09-08,2028-08-12
700240,1110,Personal Loan,3078531,10.87,12,Active,256544.25,2026-05-29,2027-05-24
700241,1106,Car Loan,4209644,7.88,24,Closed,175401.83,2025-10-27,2027-10-17
700242,1081,Business Loan,2180393,10.01,36,Default,60566.47,2025-02-14,2028-01-30
700243,1048,Education Loan,4393722,13.33,24,Default,183071.75,2024-06-23,2026-06-13
700244,1003,Education Loan,4650893,14.13,240,Default,19378.72,2025-05-30,2045-02-14
700245,1075,Education Loan,3883614,14.58,12,Active,323634.5,2022-01-28,2023-01-23
700246,1087,Education Loan,4034815,11.38,12,Active,336234.58,2026-04-27,2027-04-22
700247,1050,Personal Loan,4429789,11.63,36,Default,123049.69,2026-03-21,2029-03-05
700248,1128,Business Loan,1962292,13.53,36,Active,54508.11,2024-05-27,2027-05-12
700249,1062,Home Loan,742032,10.76,12,Default,61836.0,2024-12-12,2025-12-07
700250,1015,Business Loan,4162521,9.39,36,Closed,115625.58,2023-06-07,2026-05-22
700251,1152,Business Loan,3268527,11.94,60,Active,54475.45,2024-04-26,2029-03-31
700252,1168,Business Loan,1590997,14.48,120,Default,13258.31,2023-07-29,2033-06-06
700253,1002,Car Loan,157423,7.73,60,Active,2623.72,2023-07-13,2028-06-16
700254,1102,Education Loan,388456,12.39,120,Closed,3237.13,2021-10-26,2031-09-04
700255,1097,Personal Loan,3243669,14.84,24,Default,135152.88,2024-02-17,2026-02-06
700256,1117,Education Loan,2534946,8.38,120,Default,21124.55,2026-06-07,2036-04-15
700257,1130,Personal Loan,3728682,10.82,12,Active,310723.5,2023-07-01,2024-06-25
700258,1124,Home Loan,2331653,8.51,24,Active,97152.21,2025-05-19,2027-05-09
700259,1151,Car Loan,2366221,12.78,24,Default,98592.54,2023-09-07,2025-08-27
700260,1101,Home Loan,960806,13.2,36,Active,26689.06,2024-03-29,2027-03-14
700261,1110,Home Loan,547109,12.29,12,Default,45592.42,2022-12-30,2023-12-25
700262,1051,Personal Loan,3420779,14.67,60,Active,57012.98,2024-03-06,2029-02-08
700263,1110,Business Loan,3005468,12.5,240,Closed,12522.78,2025-09-29,2045-06-16
700264,1115,Car Loan,1210424,12.81,24,Closed,50434.33,2025-05-29,2027-05-19
700265,1170,Education Loan,2749516,8.18,12,Active,229126.33,2025-06-25,2026-06-20
700266,1093,Personal Loan,3541679,13.19,12,Default,295139.92,2025-10-26,2026-10-21
700267,1079,Business Loan,738062,11.25,36,Active,20501.72,2025-01-03,2027-12-19
700268,1137,Car Loan,4121322,9.99,240,Active,17172.17,2022-06-29,2042-03-16
700269,1137,Business Loan,596446,9.38,12,Active,49703.83,2022-10-29,2023-10-24
700270,1155,Home Loan,1146215,9.21,240,Closed,4775.9,2025-11-28,2045-08-15
700271,1126,Business Loan,675805,14.42,12,Active,56317.08,2025-09-25,2026-09-20
700272,1114,Personal Loan,1174769,10.25,240,Closed,4894.87,2026-06-22,2046-03-09
700273,1038,Home Loan,1600104,11.33,36,Closed,44447.33,2021-09-30,2024-09-14
700274,1134,Personal Loan,2109766,9.09,36,Closed,58604.61,2022-11-04,2025-10-19
700275,1084,Education Loan,1326813,8.49,12,Default,110567.75,2026-04-05,2027-03-31
700276,1180,Education Loan,2683021,10.0,240,Active,11179.25,2022-08-08,2042-04-25
700277,1078,Personal Loan,3376769,13.48,120,Default,28139.74,2022-06-30,2032-05-08
700278,1080,Home Loan,3864059,14.78,36,Closed,107334.97,2024-07-02,2027-06-17
700279,1045,Car Loan,2226648,9.1,240,Default,9277.7,2022-04-02,2041-12-18
700280,1175,Home Loan,676415,9.23,12,Default,56367.92,2025-11-21,2026-11-16
700281,1155,Business Loan,2371349,14.2,120,Closed,19761.24,2025-01-01,2034-11-10
700282,1106,Personal Loan,1505805,10.82,36,Default,41827.92,2024-05-17,2027-05-02
700283,1079,Personal Loan,3638985,13.82,120,Closed,30324.88,2024-12-02,2034-10-11
700284,1073,Education Loan,4525833,11.49,240,Default,18857.64,2023-01-25,2042-10-12
700285,1115,Personal Loan,978756,9.98,24,Default,40781.5,2024-02-24,2026-02-13
700286,1023,Personal Loan,3581127,10.39,24,Default,149213.62,2024-11-26,2026-11-16
700287,1100,Home Loan,4186480,10.6,240,Active,17443.67,2025-10-03,2045-06-20
700288,1053,Car Loan,4063455,12.09,240,Default,16931.06,2024-10-18,2044-07-05
700289,1025,Personal Loan,3708414,12.52,240,Default,15451.73,2021-08-24,2041-05-11
700290,1083,Personal Loan,1627648,10.86,12,Active,135637.33,2025-02-23,2026-02-18
700291,1098,Business Loan,4616202,13.12,120,Closed,38468.35,2026-06-22,2036-04-30
700292,1138,Personal Loan,1363740,11.08,60,Closed,22729.0,2023-02-17,2028-01-22
700293,1170,Education Loan,2154740,14.29,36,Active,59853.89,2023-08-29,2026-08-13
700294,1132,Business Loan,3357315,9.64,120,Default,27977.62,2026-07-02,2036-05-10
700295,1174,Education Loan,2102159,11.01,60,Active,35035.98,2021-10-07,2026-09-11
700296,1046,Home Loan,2308893,12.17,12,Closed,192407.75,2023-10-05,2024-09-29
700297,1084,Car Loan,916019,7.99,12,Closed,76334.92,2024-08-02,2025-07-28
700298,1156,Business Loan,978034,12.92,120,Active,8150.28,2025-10-15,2035-08-24
700299,1018,Education Loan,4218310,7.93,60,Closed,70305.17,2022-12-12,2027-11-16
700300,1122,Business Loan,4889708,12.7,24,Default,203737.83,2024-03-25,2026-03-15
700301,1144,Education Loan,4688703,12.0,12,Closed,390725.25,2023-12-01,2024-11-25
700302,1012,Personal Loan,89122,9.52,240,Active,371.34,2022-02-06,2041-10-24
700303,1061,Car Loan,2633938,11.27,36,Default,73164.94,2022-12-22,2025-12-06
700304,1161,Home Loan,2889911,12.64,120,Closed,24082.59,2021-12-18,2031-10-27
700305,1043,Car Loan,4632724,9.07,36,Active,128686.78,2024-08-22,2027-08-07
700306,1062,Home Loan,783927,9.0,240,Default,3266.36,2024-02-26,2043-11-13
700307,1029,Car Loan,4943036,10.66,60,Default,82383.93,2022-12-03,2027-11-07
700308,1037,Business Loan,1136536,8.26,12,Closed,94711.33,2022-01-19,2023-01-14
700309,1010,Education Loan,1230348,7.61,12,Default,102529.0,2026-02-27,2027-02-22
700310,1115,Education Loan,621860,14.75,12,Closed,51821.67,2025-09-25,2026-09-20
700311,1062,Education Loan,4435279,12.04,60,Closed,73921.32,2024-09-04,2029-08-09
700312,1092,Home Loan,3604851,10.6,12,Default,300404.25,2024-02-09,2025-02-03
