Transaction_ID,Account_ID,Transaction_Date,Transaction_Time,Transaction_Type,Amount,Merchant_Name,City,Device_Type,Is_Fraud,Fraud_Reason
900153,500000046,2026-04-09,23:11:14,Debit Card,69586,IRCTC,Bengaluru,Laptop,No,Normal Transaction
900154,500000064,2026-11-30,13:38:04,IMPS,79094,PhonePe,Kolkata,POS,No,Normal Transaction
900155,500000090,2026-12-17,22:15:43,UPI,12940,Amazon,Mumbai,ATM,No,Normal Transaction
900156,500000040,2026-06-07,21:43:24,NEFT,12633,Swiggy,Bengaluru,Laptop,No,Normal Transaction
900157,500000020,2026-09-02,06:49:01,RTGS,62701,Amazon,Mumbai,POS,No,Normal Transaction
900158,500000109,2026-01-01,07:10:03,ATM,57038,Paytm,Pune,POS,No,Normal Transaction
900159,500000178,2026-12-28,12:55:39,Credit Card,89541,Uber,Kolkata,POS,No,Normal Transaction
900160,500000111,2026-06-04,22:19:38,Credit Card,43963,IRCTC,Bengaluru,Mobile,No,Normal Transaction
900161,500000011,2026-07-17,20:22:41,NEFT,47215,PhonePe,Bengaluru,ATM,No,Normal Transaction
900162,500000120,2026-02-04,08:12:53,Credit Card,46522,Swiggy,Hyderabad,Mobile,No,Normal Transaction
900163,500000111,2026-09-19,09:26:21,Credit Card,82200,PhonePe,Lucknow,POS,No,Normal Transaction
900164,500000160,2026-04-16,12:11:50,NEFT,3876,DMart,Bengaluru,Laptop,No,Normal Transaction
900165,500000143,2026-09-05,15:53:28,NEFT,5331,Amazon,Delhi,POS,No,Normal Transaction
900166,500000043,2026-10-25,20:26:02,IMPS,34032,Reliance,Mumbai,POS,Yes,Multiple Transactions
900167,500000105,2026-04-15,11:09:01,ATM,22078,Reliance,Hyderabad,Laptop,No,Normal Transaction
900168,500000089,2026-07-25,07:35:43,NEFT,5293,Flipkart,Delhi,POS,No,Normal Transaction
900169,500000109,2026-09-05,09:25:15,Debit Card,75318,Uber,Lucknow,POS,No,Normal Transaction
900170,500000106,2026-05-10,10:58:01,NEFT,30901,Paytm,Hyderabad,POS,No,Normal Transaction
900171,500000039,2026-08-25,07:42:58,UPI,54076,Paytm,Hyderabad,Mobile,No,Normal Transaction
900172,500000053,2026-05-09,21:20:33,Credit Card,91948,Swiggy,Kolkata,Mobile,No,Normal Transaction
900173,500000078,2026-12-25,09:20:18,RTGS,94889,Paytm,Lucknow,POS,No,Normal Transaction
900174,500000039,2026-03-19,12:07:30,NEFT,7096,Amazon,Bengaluru,POS,No,Normal Transaction
900175,500000166,2026-10-10,08:57:55,Credit Card,33392,Zomato,Mumbai,Mobile,No,Normal Transaction
900176,500000044,2026-04-25,19:06:11,UPI,76213,DMart,Lucknow,ATM,No,Normal Transaction
900177,500000009,2026-07-26,03:57:23,Credit Card,64198,PhonePe,Hyderabad,POS,No,Normal Transaction
900178,500000153,2026-04-07,01:32:12,ATM,20493,PhonePe,Kolkata,POS,No,Normal Transaction
900179,500000165,2026-02-08,00:12:14,IMPS,6013,PhonePe,Kolkata,Mobile,No,Normal Transaction
900180,500000146,2026-03-29,00:56:15,Credit Card,98132,Zomato,Delhi,ATM,No,Normal Transaction
900181,500000035,2026-11-29,16:00:43,Credit Card,11768,Amazon,Pune,ATM,No,Normal Transaction
900182,500000140,2026-02-07,21:36:55,IMPS,22534,Flipkart,Delhi,POS,Yes,Midnight Transaction
900183,500000127,2026-03-30,06:54:09,Debit Card,66235,PhonePe,Bengaluru,POS,No,Normal Transaction
900184,500000078,2026-02-18,04:43:00,Credit Card,86733,DMart,Mumbai,Laptop,No,Normal Transaction
900185,500000038,2026-12-21,17:45:37,RTGS,99086,Swiggy,Lucknow,Mobile,No,Normal Transaction
900186,500000144,2026-01-14,04:59:11,RTGS,95149,Flipkart,Pune,Laptop,No,Normal Transaction
900187,500000083,2026-02-26,20:49:24,IMPS,42156,Zomato,Lucknow,ATM,No,Normal Transaction
900188,500000154,2026-12-18,14:47:52,UPI,94417,IRCTC,Mumbai,Laptop,No,Normal Transaction
900189,500000135,2026-08-25,05:11:37,RTGS,31155,Zomato,Bengaluru,Laptop,No,Normal Transaction
900190,500000097,2026-07-01,12:25:48,NEFT,49107,IRCTC,Bengaluru,Mobile,No,Normal Transaction
900191,500000105,2026-11-03,21:04:35,ATM,82147,IRCTC,Delhi,Mobile,No,Normal Transaction
900192,500000072,2026-11-09,07:56:41,RTGS,82832,DMart,Kolkata,ATM,No,Normal Transaction
900193,500000037,2026-02-23,05:40:15,NEFT,17606,DMart,Pune,ATM,No,Normal Transaction
900194,500000041,2026-09-26,04:48:48,RTGS,19631,Flipkart,Bengaluru,Mobile,No,Normal Transaction
900195,500000053,2026-11-02,09:22:37,ATM,48507,Uber,Mumbai,Mobile,No,Normal Transaction
900196,500000067,2026-10-26,11:07:50,RTGS,87588,Reliance,Lucknow,POS,No,Normal Transaction
900197,500000113,2026-12-17,14:07:09,IMPS,19867,Swiggy,Pune,Mobile,No,Normal Transaction
900198,500000144,2026-02-20,05:05:03,RTGS,62282,PhonePe,Hyderabad,Laptop,No,Normal Transaction
900199,500000003,2026-05-06,09:01:52,ATM,23375,Uber,Delhi,Laptop,No,Normal Transaction
900200,500000037,2026-11-16,11:06:15,IMPS,85605,IRCTC,Hyderabad,POS,No,Normal Transaction
900201,500000024,2026-06-13,01:45:28,NEFT,80828,DMart,Bengaluru,ATM,No,Normal Transaction
900202,500000006,2026-02-24,00:51:37,Debit Card,18735,Amazon,Pune,POS,No,Normal Transaction
900203,500000025,2026-08-03,01:02:35,Credit Card,21626,DMart,Pune,POS,No,Normal Transaction
900204,500000026,2026-04-11,10:55:08,IMPS,68503,Paytm,Bengaluru,Mobile,No,Normal Transaction
900205,500000152,2026-08-04,09:37:34,ATM,18226,Amazon,Hyderabad,POS,No,Normal Transaction
900206,500000075,2026-07-31,08:46:19,Credit Card,41305,Flipkart,Mumbai,ATM,No,Normal Transaction
900207,500000057,2026-07-19,09:15:20,UPI,4995,Flipkart,Bengaluru,Laptop,No,Normal Transaction
900208,500000073,2026-11-28,16:22:33,RTGS,55869,PhonePe,Bengaluru,ATM,No,Normal Transaction
900209,500000087,2026-07-11,16:20:34,RTGS,74565,Paytm,Bengaluru,ATM,No,Normal Transaction
900210,500000114,2026-10-31,22:18:38,RTGS,1471,Zomato,Bengaluru,Mobile,No,Normal Transaction
900211,500000070,2026-05-28,09:44:28,UPI,94587,Paytm,Kolkata,Mobile,No,Normal Transaction
900212,500000143,2026-01-10,07:48:05,NEFT,91152,Reliance,Lucknow,Laptop,No,Normal Transaction
900213,500000033,2026-08-08,11:38:39,NEFT,12108,Reliance,Mumbai,Mobile,No,Normal Transaction
900214,500000046,2026-04-21,13:22:23,UPI,52169,IRCTC,Bengaluru,Mobile,No,Normal Transaction
900215,500000140,2026-06-05,03:18:09,RTGS,1137,Zomato,Pune,ATM,No,Normal Transaction
900216,500000051,2026-09-20,19:26:50,Credit Card,88248,Uber,Bengaluru,Laptop,No,Normal Transaction
900217,500000040,2026-06-18,20:47:50,RTGS,32345,Amazon,Delhi,POS,No,Normal Transaction
900218,500000108,2026-03-05,11:27:03,NEFT,2680,Reliance,Pune,Mobile,No,Normal Transaction
900219,500000154,2026-09-09,17:34:54,Debit Card,81558,DMart,Hyderabad,Mobile,No,Normal Transaction
900220,500000036,2026-09-30,10:15:39,UPI,46002,Zomato,Pune,Laptop,No,Normal Transaction
900221,500000011,2026-09-13,04:16:09,ATM,59986,Reliance,Mumbai,POS,No,Normal Transaction
900222,500000118,2026-10-28,00:39:41,IMPS,20187,Amazon,Kolkata,ATM,No,Normal Transaction
900223,500000119,2026-10-08,00:52:02,NEFT,90921,Swiggy,Pune,POS,No,Normal Transaction
900224,500000039,2026-11-16,09:44:18,NEFT,14081,Uber,Bengaluru,ATM,No,Normal Transaction
900225,500000014,2026-07-01,22:41:31,NEFT,73184,IRCTC,Hyderabad,Laptop,No,Normal Transaction
900226,500000165,2026-08-29,00:25:15,ATM,13701,Zomato,Bengaluru,ATM,No,Normal Transaction
900227,500000121,2026-05-19,21:20:23,Debit Card,40578,PhonePe,Bengaluru,ATM,No,Normal Transaction
900228,500000087,2026-03-03,07:41:25,UPI,32490,PhonePe,Bengaluru,Mobile,No,Normal Transaction
900229,500000154,2026-12-24,12:01:19,Debit Card,21431,Reliance,Kolkata,POS,No,Normal Transaction
900230,500000031,2026-11-23,05:49:53,UPI,24893,Paytm,Pune,Mobile,No,Normal Transaction
900231,500000146,2026-08-23,11:56:00,IMPS,73107,PhonePe,Pune,Laptop,No,Normal Transaction
900232,500000166,2026-06-07,06:28:12,ATM,99250,Uber,Kolkata,Mobile,No,Normal Transaction
900233,500000173,2026-05-23,21:31:32,UPI,25508,Swiggy,Hyderabad,Mobile,No,Normal Transaction
900234,500000109,2026-06-22,08:10:08,UPI,20863,Uber,Bengaluru,Laptop,No,Normal Transaction
900235,500000179,2026-08-10,22:04:54,IMPS,85623,DMart,Bengaluru,Mobile,No,Normal Transaction
900236,500000168,2026-09-30,04:56:01,Credit Card,3835,Amazon,Pune,Laptop,No,Normal Transaction
900237,500000031,2026-06-25,01:03:03,ATM,75433,Uber,Hyderabad,POS,No,Normal Transaction
900238,500000019,2026-07-11,00:10:14,ATM,14058,DMart,Delhi,ATM,No,Normal Transaction
900239,500000047,2026-12-16,18:51:27,ATM,90285,Amazon,Bengaluru,Mobile,No,Normal Transaction
900240,500000013,2026-07-24,01:44:38,UPI,59780,Amazon,Lucknow,Mobile,No,Normal Transaction
900241,500000084,2026-01-04,05:48:47,RTGS,98702,Paytm,Bengaluru,POS,No,Normal Transaction
900242,500000160,2026-09-22,05:38:36,Credit Card,82638,Swiggy,Bengaluru,POS,No,Normal Transaction
900243,500000116,2026-01-05,09:06:05,NEFT,35261,IRCTC,Mumbai,Mobile,Yes,Different City
900244,500000158,2026-03-31,06:32:45,NEFT,84671,Reliance,Pune,Laptop,No,Normal Transaction
900245,500000062,2026-09-19,01:53:27,Debit Card,19323,Zomato,Kolkata,Laptop,No,Normal Transaction
900246,500000141,2026-10-22,11:59:15,Debit Card,85590,PhonePe,Pune,POS,No,Normal Transaction
900247,500000128,2026-01-05,18:23:44,ATM,32973,Zomato,Bengaluru,ATM,No,Normal Transaction
900248,500000096,2026-05-05,13:48:00,NEFT,80084,Paytm,Lucknow,POS,No,Normal Transaction
900249,500000044,2026-09-24,04:49:33,NEFT,72549,DMart,Mumbai,POS,No,Normal Transaction
900250,500000129,2026-04-16,00:56:50,UPI,62815,IRCTC,Pune,Laptop,No,Normal Transaction
900251,500000113,2026-08-13,02:07:46,IMPS,8887,IRCTC,Hyderabad,Laptop,No,Normal Transaction
900252,500000171,2026-02-27,02:42:59,UPI,88350,Zomato,Kolkata,POS,No,Normal Transaction
900253,500000104,2026-02-14,04:54:40,IMPS,29198,Reliance,Bengaluru,ATM,No,Normal Transaction
900254,500000087,2026-03-29,08:47:37,IMPS,58810,Uber,Bengaluru,ATM,No,Normal Transaction
900255,500000180,2026-11-08,19:36:51,UPI,3028,Amazon,Hyderabad,Mobile,No,Normal Transaction
900256,500000160,2026-05-10,06:11:28,ATM,79386,Amazon,Lucknow,Mobile,No,Normal Transaction
900257,500000180,2026-05-05,19:03:51,RTGS,64897,Reliance,Bengaluru,POS,No,Normal Transaction
900258,500000119,2026-02-06,04:21:03,UPI,89350,Uber,Delhi,Laptop,No,Normal Transaction
900259,500000057,2026-11-14,12:34:42,NEFT,17834,Zomato,Hyderabad,POS,Yes,Different City
900260,500000028,2026-07-23,09:32:31,RTGS,69302,IRCTC,Pune,Mobile,No,Normal Transaction
