Card_ID,Customer_ID,Card_Type,Card_Network,Credit_Limit,Outstanding_Balance,Card_Status,Issue_Date,Expiry_Date
800044,1002,Classic,Mastercard,347205,265321,Active,2022-04-12,2027-04-11
800045,1100,Gold,RuPay,323510,316837,Expired,2024-02-10,2029-02-08
800046,1152,Signature,Visa,845026,290254,Blocked,2023-11-06,2028-11-04
800047,1086,Gold,Visa,925254,119363,Expired,2025-04-03,2030-04-02
800048,1165,Gold,RuPay,453772,363068,Active,2024-07-10,2029-07-09
800049,1093,Gold,RuPay,426297,83801,Active,2022-04-11,2027-04-10
800050,1135,Classic,RuPay,804952,238185,Active,2023-05-28,2028-05-26
800051,1077,Gold,Mastercard,476161,148870,Active,2022-06-12,2027-06-11
800052,1025,Gold,Visa,773676,190465,Expired,2023-06-04,2028-06-02
800053,1150,Platinum,Mastercard,810255,265558,Blocked,2022-01-16,2027-01-15
800054,1068,Signature,Visa,447707,319908,Active,2023-03-10,2028-03-08
800055,1155,Classic,Mastercard,578258,355749,Expired,2023-10-09,2028-10-07
800056,1118,Platinum,Mastercard,367497,34290,Blocked,2022-04-05,2027-04-04
800057,1147,Platinum,RuPay,470696,202522,Blocked,2023-03-06,2028-03-04
800058,1178,Platinum,RuPay,87910,38458,Blocked,2021-11-23,2026-11-22
800059,1074,Platinum,Mastercard,254668,62292,Blocked,2021-08-22,2026-08-21
800060,1128,Signature,Mastercard,582050,197194,Blocked,2023-07-20,2028-07-18
800061,1173,Gold,RuPay,631679,84135,Expired,2021-09-11,2026-09-10
800062,1001,Gold,Mastercard,421653,198719,Expired,2022-10-06,2027-10-05
800063,1034,Platinum,Visa,833878,593504,Blocked,2023-04-13,2028-04-11
800064,1139,Platinum,Mastercard,545542,219188,Active,2023-07-25,2028-07-23
800065,1067,Gold,Mastercard,153745,97297,Blocked,2022-01-05,2027-01-04
800066,1046,Signature,Mastercard,675185,27986,Expired,2022-04-14,2027-04-13
800067,1085,Gold,Visa,490296,30843,Active,2022-09-16,2027-09-15
800068,1086,Classic,Mastercard,403725,269754,Expired,2025-08-16,2030-08-15
800069,1165,Platinum,Visa,853007,40122,Active,2026-08-01,2031-07-31
800070,1122,Gold,Visa,345279,143547,Expired,2024-12-30,2029-12-29
800071,1006,Signature,Visa,905938,356586,Expired,2026-01-19,2031-01-18
800072,1146,Platinum,Mastercard,653518,472270,Active,2023-06-19,2028-06-17
800073,1038,Signature,Mastercard,272485,107454,Active,2022-09-07,2027-09-06
800074,1035,Classic,Visa,137224,137093,Active,2024-05-17,2029-05-16
800075,1137,Signature,Mastercard,624048,323713,Expired,2022-05-21,2027-05-20
800076,1156,Platinum,RuPay,890713,519657,Active,2026-01-03,2031-01-02
800077,1095,Signature,Mastercard,418450,299860,Expired,2025-05-19,2030-05-18
800078,1015,Platinum,Visa,830417,634734,Active,2022-09-23,2027-09-22
800079,1049,Classic,RuPay,482088,66424,Active,2022-08-03,2027-08-02
800080,1038,Gold,RuPay,441516,280877,Blocked,2024-11-05,2029-11-04
800081,1044,Signature,RuPay,721509,390097,Active,2021-10-23,2026-10-22
800082,1028,Gold,Mastercard,80074,72987,Active,2025-09-06,2030-09-05
800083,1023,Classic,RuPay,823846,756802,Active,2023-10-13,2028-10-11
800084,1088,Signature,Visa,187912,36183,Expired,2025-09-01,2030-08-31
800085,1076,Gold,RuPay,602886,8239,Blocked,2024-10-30,2029-10-29
800086,1047,Signature,Visa,539463,523482,Expired,2023-04-23,2028-04-21
800087,1169,Signature,Visa,554729,252241,Blocked,2023-09-26,2028-09-24
800088,1157,Platinum,Visa,972267,639987,Blocked,2026-07-22,2031-07-21
800089,1151,Classic,Visa,558205,232924,Expired,2024-07-12,2029-07-11
800090,1022,Platinum,Visa,187465,3514,Expired,2023-04-25,2028-04-23
800091,1057,Platinum,Visa,684246,321178,Blocked,2026-04-03,2031-04-02
800092,1091,Signature,RuPay,713020,350855,Active,2025-10-26,2030-10-25
800093,1038,Classic,RuPay,640235,296979,Active,2022-04-29,2027-04-28
800094,1046,Gold,RuPay,955441,120696,Active,2023-09-06,2028-09-04
800095,1072,Gold,Visa,801005,735200,Active,2023-11-25,2028-11-23
800096,1030,Signature,Mastercard,192317,52432,Active,2023-05-26,2028-05-24
800097,1091,Classic,RuPay,732991,44960,Expired,2024-06-26,2029-06-25
800098,1128,Gold,Mastercard,827964,415471,Blocked,2024-02-28,2029-02-26
800099,1011,Platinum,Visa,990854,92705,Active,2022-11-18,2027-11-17
800100,1065,Signature,Visa,811047,721469,Expired,2023-04-23,2028-04-21
800101,1084,Gold,Mastercard,309014,274566,Blocked,2026-02-06,2031-02-05
800102,1156,Gold,Mastercard,891242,60174,Blocked,2026-07-30,2031-07-29
800103,1036,Signature,Visa,305150,60769,Blocked,2021-09-01,2026-08-31
800104,1150,Classic,RuPay,188387,173144,Active,2023-07-21,2028-07-19
800105,1004,Classic,RuPay,390388,328214,Blocked,2023-08-23,2028-08-21
800106,1034,Platinum,Visa,204486,192299,Blocked,2021-09-11,2026-09-10
800107,1156,Gold,Mastercard,566305,437048,Active,2022-08-29,2027-08-28
800108,1045,Platinum,RuPay,248497,140778,Active,2025-05-21,2030-05-20
800109,1175,Gold,Visa,799353,165086,Active,2024-01-27,2029-01-25
800110,1045,Signature,RuPay,505667,22887,Blocked,2023-12-28,2028-12-26
800111,1072,Platinum,RuPay,796063,406354,Expired,2024-08-08,2029-08-07
800112,1064,Classic,Mastercard,358636,36029,Blocked,2025-09-13,2030-09-12
800113,1085,Signature,RuPay,751508,384851,Expired,2022-09-30,2027-09-29
800114,1135,Classic,RuPay,491421,70053,Active,2025-11-02,2030-11-01
800115,1076,Gold,Mastercard,753689,745912,Blocked,2026-05-23,2031-05-22
800116,1125,Classic,Mastercard,374695,143150,Blocked,2025-12-29,2030-12-28
800117,1029,Classic,Visa,507684,31428,Active,2025-07-30,2030-07-29
800118,1104,Platinum,Mastercard,544269,35079,Blocked,2025-03-18,2030-03-17
800119,1013,Platinum,RuPay,859838,695468,Expired,2022-06-12,2027-06-11
800120,1034,Platinum,Mastercard,893539,224845,Expired,2024-02-04,2029-02-02
800121,1158,Signature,Mastercard,471363,179856,Active,2025-10-28,2030-10-27
800122,1054,Gold,Mastercard,240093,170234,Blocked,2022-04-20,2027-04-19
800123,1103,Classic,Visa,432442,25106,Blocked,2023-05-21,2028-05-19
800124,1106,Platinum,Visa,61559,56104,Active,2025-12-15,2030-12-14
800125,1106,Classic,RuPay,127385,35515,Expired,2025-11-28,2030-11-27
800126,1110,Platinum,Visa,238547,100228,Expired,2021-11-03,2026-11-02
800127,1119,Signature,Mastercard,957502,446566,Blocked,2025-09-20,2030-09-19
800128,1036,Platinum,Visa,980372,341037,Expired,2025-05-14,2030-05-13
800129,1007,Gold,Mastercard,865436,106328,Expired,2024-09-23,2029-09-22
800130,1049,Platinum,RuPay,593866,514412,Active,2023-01-19,2028-01-18
800131,1157,Classic,RuPay,680370,306080,Expired,2023-07-16,2028-07-14
800132,1005,Signature,Visa,207574,94300,Blocked,2024-02-27,2029-02-25
800133,1147,Signature,Visa,83305,53375,Blocked,2023-06-02,2028-05-31
800134,1047,Gold,Mastercard,424349,126708,Expired,2026-07-01,2031-06-30
800135,1024,Signature,Mastercard,697580,254077,Blocked,2022-02-10,2027-02-09
800136,1084,Signature,RuPay,891388,16033,Expired,2021-10-21,2026-10-20
800137,1122,Gold,Mastercard,170513,86779,Expired,2024-04-10,2029-04-09
800138,1005,Signature,Visa,979652,559608,Active,2023-08-17,2028-08-15
800139,1135,Platinum,Mastercard,126418,45951,Expired,2022-02-05,2027-02-04
800140,1161,Classic,RuPay,898683,211727,Blocked,2022-11-30,2027-11-29
800141,1037,Signature,Mastercard,288602,151743,Active,2025-05-09,2030-05-08
800142,1108,Platinum,Visa,698610,327420,Expired,2026-05-17,2031-05-16
800143,1130,Platinum,RuPay,811262,736442,Blocked,2025-11-24,2030-11-23
800144,1067,Classic,Visa,689422,37384,Active,2024-03-04,2029-03-03
800145,1088,Signature,Visa,85128,56866,Blocked,2024-12-20,2029-12-19
800146,1163,Signature,RuPay,726804,80745,Expired,2026-01-01,2030-12-31
800147,1052,Platinum,Mastercard,462788,137421,Blocked,2026-01-29,2031-01-28
800148,1115,Gold,Visa,764730,352288,Active,2024-08-24,2029-08-23
800149,1142,Platinum,Mastercard,371802,120257,Expired,2021-08-26,2026-08-25
800150,1094,Platinum,RuPay,452617,65030,Expired,2024-12-10,2029-12-09
800151,1135,Classic,Mastercard,921253,851844,Active,2025-12-28,2030-12-27
800152,1138,Gold,Visa,736194,395282,Active,2026-01-22,2031-01-21
800153,1170,Platinum,Mastercard,259199,158733,Blocked,2022-06-08,2027-06-07
800154,1075,Classic,RuPay,292383,109281,Expired,2023-05-09,2028-05-07
800155,1168,Classic,Mastercard,290697,262090,Active,2024-03-23,2029-03-22
800156,1013,Signature,Mastercard,63028,22026,Expired,2022-08-15,2027-08-14
800157,1016,Gold,RuPay,515974,295981,Expired,2026-07-06,2031-07-05
800158,1065,Platinum,Mastercard,797481,418384,Expired,2024-11-06,2029-11-05
800159,1034,Platinum,Mastercard,737739,58590,Blocked,2022-02-01,2027-01-31
800160,1083,Classic,Mastercard,656091,572502,Active,2023-10-08,2028-10-06
800161,1076,Classic,Mastercard,642637,571912,Active,2025-06-19,2030-06-18
800162,1108,Gold,RuPay,852012,440080,Expired,2024-05-17,2029-05-16
800163,1093,Signature,RuPay,358636,61989,Expired,2026-01-31,2031-01-30
800164,1156,Classic,Visa,662400,232043,Blocked,2026-05-17,2031-05-16
800165,1021,Signature,Visa,764717,654466,Active,2025-10-24,2030-10-23
800166,1036,Signature,Visa,792163,556874,Blocked,2022-02-04,2027-02-03
800167,1066,Gold,RuPay,193211,46926,Expired,2025-03-12,2030-03-11
800168,1037,Classic,Mastercard,131269,29722,Expired,2024-05-03,2029-05-02
800169,1168,Signature,Visa,495803,459498,Blocked,2025-10-20,2030-10-19
800170,1172,Signature,Mastercard,210370,37981,Expired,2021-09-23,2026-09-22
800171,1090,Signature,RuPay,149839,76790,Active,2023-02-02,2028-02-01
800172,1110,Gold,Mastercard,128174,127244,Active,2024-04-29,2029-04-28
800173,1027,Classic,RuPay,731778,513864,Expired,2024-07-30,2029-07-29
800174,1130,Classic,Visa,965601,771509,Active,2025-07-06,2030-07-05
800175,1028,Classic,RuPay,211229,107690,Expired,2021-11-13,2026-11-12
800176,1028,Classic,RuPay,529507,500691,Expired,2025-08-16,2030-08-15
800177,1133,Platinum,RuPay,393358,194449,Active,2024-06-09,2029-06-08
800178,1011,Gold,Mastercard,886895,629963,Blocked,2023-02-08,2028-02-07
800179,1088,Signature,Mastercard,272871,147066,Blocked,2025-04-23,2030-04-22
800180,1091,Signature,Mastercard,796272,779101,Expired,2026-05-09,2031-05-08
800181,1147,Platinum,Mastercard,147864,111143,Blocked,2022-01-18,2027-01-17
800182,1008,Gold,Visa,310230,95126,Expired,2024-07-12,2029-07-11
800183,1129,Signature,Visa,667844,370966,Expired,2022-08-19,2027-08-18
800184,1095,Classic,Mastercard,635559,211925,Expired,2024-08-14,2029-08-13
800185,1135,Gold,Visa,170639,101044,Expired,2025-06-06,2030-06-05
800186,1053,Signature,Visa,313207,45621,Expired,2022-10-30,2027-10-29
800187,1128,Gold,RuPay,694995,18512,Blocked,2024-12-28,2029-12-27
800188,1138,Gold,Mastercard,624070,126022,Expired,2025-01-01,2029-12-31
800189,1035,Signature,Visa,925509,210562,Expired,2022-09-02,2027-09-01
800190,1154,Platinum,Visa,425587,341776,Expired,2026-05-04,2031-05-03
800191,1090,Platinum,Mastercard,728184,324770,Active,2026-02-16,2031-02-15
800192,1133,Classic,RuPay,109937,34537,Active,2024-06-18,2029-06-17
800193,1172,Gold,RuPay,649285,402252,Active,2022-09-15,2027-09-14
800194,1027,Gold,Visa,348750,308429,Active,2024-12-03,2029-12-02
800195,1055,Classic,Visa,988876,272315,Active,2026-06-24,2031-06-23
800196,1016,Gold,RuPay,257506,54392,Blocked,2022-06-04,2027-06-03
800197,1163,Gold,RuPay,592560,106807,Expired,2024-03-01,2029-02-28
800198,1074,Classic,Mastercard,204514,3094,Expired,2023-04-23,2028-04-21
800199,1039,Signature,RuPay,724561,611795,Blocked,2025-03-05,2030-03-04
800200,1071,Classic,RuPay,718115,594611,Active,2024-08-22,2029-08-21
800201,1014,Platinum,Mastercard,717545,268248,Expired,2022-07-18,2027-07-17
800202,1108,Gold,Mastercard,156514,29853,Expired,2022-06-09,2027-06-08
800203,1041,Signature,RuPay,282324,163774,Expired,2023-03-14,2028-03-12
800204,1004,Classic,Mastercard,609755,562171,Blocked,2025-10-29,2030-10-28
800205,1074,Platinum,Mastercard,385717,207982,Active,2024-04-06,2029-04-05
800206,1012,Signature,Mastercard,856555,507280,Blocked,2026-07-12,2031-07-11
800207,1077,Signature,RuPay,398776,39108,Active,2023-06-24,2028-06-22
800208,1038,Signature,RuPay,885596,367837,Active,2024-11-05,2029-11-04
800209,1087,Gold,Mastercard,863913,755587,Blocked,2024-11-18,2029-11-17
800210,1015,Classic,Mastercard,808920,599430,Blocked,2023-08-21,2028-08-19
800211,1166,Platinum,Mastercard,367718,322291,Expired,2023-10-22,2028-10-20
800212,1116,Classic,RuPay,528106,411187,Expired,2021-11-17,2026-11-16
800213,1080,Classic,Visa,414507,336890,Blocked,2025-11-08,2030-11-07
800214,1157,Signature,RuPay,448023,407579,Active,2024-07-12,2029-07-11
800215,1176,Gold,RuPay,321727,112532,Active,2022-10-06,2027-10-05
800216,1076,Classic,RuPay,294284,216135,Expired,2026-07-10,2031-07-09
800217,1011,Classic,Mastercard,956862,800127,Blocked,2022-09-27,2027-09-26
800218,1111,Platinum,RuPay,196212,111825,Active,2024-10-11,2029-10-10
800219,1166,Platinum,Mastercard,528945,334597,Blocked,2024-04-07,2029-04-06
800220,1030,Signature,Visa,853741,416084,Active,2022-09-30,2027-09-29
800221,1175,Signature,RuPay,245046,91868,Expired,2021-12-06,2026-12-05
800222,1074,Gold,RuPay,737300,286821,Blocked,2023-04-23,2028-04-21
800223,1038,Platinum,Mastercard,467729,98930,Blocked,2022-10-03,2027-10-02
800224,1127,Gold,RuPay,676089,153174,Expired,2023-05-18,2028-05-16
800225,1070,Classic,RuPay,805715,350348,Blocked,2021-12-26,2026-12-25
800226,1082,Signature,Visa,366534,190651,Expired,2023-02-21,2028-02-20
800227,1153,Classic,Visa,528489,82683,Blocked,2024-08-22,2029-08-21
800228,1018,Classic,Visa,569592,426572,Blocked,2022-08-06,2027-08-05
800229,1018,Signature,Mastercard,642469,288283,Active,2022-02-05,2027-02-04
800230,1159,Platinum,Mastercard,440327,216578,Active,2026-06-10,2031-06-09
800231,1104,Classic,RuPay,119757,22585,Expired,2022-06-25,2027-06-24
800232,1162,Platinum,Visa,816359,24592,Expired,2021-11-24,2026-11-23
800233,1103,Gold,Visa,507949,386391,Active,2024-09-17,2029-09-16
800234,1121,Platinum,Mastercard,451741,74137,Blocked,2025-03-27,2030-03-26
800235,1109,Classic,Visa,418820,65598,Blocked,2023-03-12,2028-03-10
800236,1033,Classic,RuPay,329806,157779,Expired,2021-12-17,2026-12-16
800237,1067,Gold,Mastercard,201913,73137,Blocked,2021-09-03,2026-09-02
800238,1013,Gold,RuPay,982889,568981,Active,2022-04-01,2027-03-31
800239,1061,Platinum,Visa,470946,370323,Blocked,2022-05-18,2027-05-17
800240,1113,Platinum,RuPay,228736,118983,Expired,2022-08-28,2027-08-27
800241,1179,Platinum,RuPay,156893,84485,Active,2022-03-11,2027-03-10
800242,1150,Signature,Visa,648219,280072,Active,2024-07-10,2029-07-09
800243,1076,Signature,Mastercard,300585,103090,Expired,2025-07-17,2030-07-16
800244,1051,Signature,Mastercard,318320,271836,Active,2024-04-21,2029-04-20
800245,1116,Classic,RuPay,605479,432535,Active,2025-02-28,2030-02-27
800246,1006,Classic,Mastercard,642790,640083,Expired,2026-06-03,2031-06-02
800247,1155,Classic,RuPay,235407,111838,Blocked,2022-05-25,2027-05-24
800248,1095,Signature,Visa,717768,185377,Blocked,2026-03-13,2031-03-12
800249,1094,Classic,RuPay,865921,389763,Expired,2023-04-12,2028-04-10
800250,1129,Classic,Mastercard,397351,14631,Blocked,2022-09-01,2027-08-31
800251,1115,Classic,Mastercard,51035,10478,Expired,2022-10-05,2027-10-04
800252,1021,Classic,RuPay,293571,98060,Active,2022-11-17,2027-11-16
800253,1007,Gold,RuPay,902979,156898,Expired,2023-09-18,2028-09-16
800254,1008,Signature,Mastercard,548381,166999,Active,2024-08-14,2029-08-13
800255,1067,Gold,Mastercard,736642,347623,Expired,2023-03-19,2028-03-17
800256,1061,Classic,Visa,644342,68934,Active,2023-02-14,2028-02-13
800257,1154,Gold,RuPay,409995,285004,Active,2023-07-20,2028-07-18
800258,1072,Platinum,Mastercard,473200,50012,Active,2024-11-23,2029-11-22
800259,1011,Platinum,Mastercard,568062,70145,Expired,2022-08-15,2027-08-14
800260,1098,Gold,RuPay,233418,207944,Active,2022-03-15,2027-03-14
800261,1133,Gold,Visa,213465,149521,Active,2024-02-03,2029-02-01
800262,1177,Classic,Mastercard,344316,113526,Active,2023-12-20,2028-12-18
800263,1130,Gold,RuPay,548121,433808,Expired,2021-09-19,2026-09-18
800264,1053,Classic,RuPay,296753,213190,Active,2025-04-06,2030-04-05
800265,1035,Signature,Mastercard,451696,7790,Expired,2022-07-19,2027-07-18
800266,1160,Classic,RuPay,290384,206297,Active,2022-08-25,2027-08-24
800267,1045,Signature,Visa,97523,39795,Active,2022-11-23,2027-11-22
800268,1033,Gold,RuPay,50495,15658,Blocked,2024-05-15,2029-05-14
800269,1178,Signature,Mastercard,436214,412990,Expired,2022-08-10,2027-08-09
800270,1156,Gold,RuPay,527243,292258,Blocked,2025-09-05,2030-09-04
800271,1133,Gold,Visa,374215,262333,Active,2024-08-13,2029-08-12
800272,1123,Signature,RuPay,157191,142602,Blocked,2025-07-13,2030-07-12
800273,1041,Signature,RuPay,304015,110909,Blocked,2021-10-06,2026-10-05
800274,1162,Classic,RuPay,673601,324333,Blocked,2023-08-05,2028-08-03
800275,1020,Gold,Mastercard,687372,615471,Active,2021-10-13,2026-10-12
800276,1014,Signature,Mastercard,920494,737207,Active,2025-04-03,2030-04-02
800277,1118,Platinum,Visa,293920,206800,Expired,2023-03-14,2028-03-12
800278,1032,Signature,Mastercard,518030,256936,Active,2024-07-24,2029-07-23
800279,1168,Gold,Mastercard,91039,61156,Active,2024-04-25,2029-04-24
800280,1036,Platinum,Visa,565939,147009,Expired,2025-01-12,2030-01-11
800281,1016,Signature,Visa,126139,68199,Expired,2026-06-29,2031-06-28
800282,1059,Platinum,RuPay,102637,2445,Active,2022-01-10,2027-01-09
800283,1098,Classic,Mastercard,934385,665128,Blocked,2022-06-11,2027-06-10
800284,1098,Classic,Visa,321459,2701,Expired,2021-12-11,2026-12-10
800285,1103,Classic,Visa,315799,208805,Blocked,2023-09-23,2028-09-21
800286,1054,Classic,Mastercard,428568,421126,Blocked,2025-01-11,2030-01-10
800287,1067,Gold,Mastercard,683997,663262,Active,2022-03-06,2027-03-05
800288,1044,Platinum,Mastercard,338292,190756,Blocked,2022-02-05,2027-02-04
800289,1134,Signature,Mastercard,299308,106133,Active,2024-12-30,2029-12-29
800290,1159,Classic,Mastercard,678193,427875,Active,2023-05-26,2028-05-24
800291,1102,Signature,RuPay,152372,83621,Active,2026-03-06,2031-03-05
800292,1022,Gold,RuPay,477314,248364,Active,2024-09-18,2029-09-17
800293,1147,Platinum,RuPay,636181,183457,Active,2023-06-14,2028-06-12
800294,1106,Classic,Mastercard,730182,591040,Blocked,2026-01-21,2031-01-20
800295,1063,Gold,RuPay,414138,22140,Blocked,2026-02-25,2031-02-24
800296,1176,Classic,Mastercard,349988,342515,Blocked,2022-04-13,2027-04-12
800297,1157,Classic,Visa,216775,14383,Expired,2022-03-22,2027-03-21
800298,1167,Gold,Visa,409083,302499,Active,2026-02-12,2031-02-11
800299,1127,Classic,RuPay,902977,828319,Blocked,2023-03-13,2028-03-11
800300,1117,Gold,RuPay,802131,293873,Blocked,2022-07-23,2027-07-22
800301,1021,Classic,Visa,632847,582187,Active,2025-05-01,2030-04-30
800302,1058,Gold,Visa,121471,46039,Expired,2023-05-17,2028-05-15
800303,1127,Classic,RuPay,916431,593261,Expired,2022-08-25,2027-08-24
800304,1120,Platinum,Visa,972041,232677,Blocked,2024-09-06,2029-09-05
800305,1155,Signature,RuPay,237665,171792,Expired,2024-11-27,2029-11-26
800306,1135,Signature,Mastercard,827025,554686,Active,2023-01-01,2027-12-31
800307,1052,Classic,RuPay,738535,272986,Blocked,2023-06-16,2028-06-14
800308,1001,Gold,RuPay,324721,147608,Blocked,2024-01-13,2029-01-11
800309,1096,Classic,RuPay,193164,25346,Active,2021-10-07,2026-10-06
800310,1118,Platinum,Mastercard,915990,239674,Blocked,2025-01-06,2030-01-05
800311,1032,Signature,Mastercard,463217,288012,Expired,2026-01-05,2031-01-04
800312,1002,Gold,Visa,954846,270731,Expired,2025-08-08,2030-08-07
800313,1179,Signature,RuPay,579623,442245,Blocked,2021-11-19,2026-11-18
800314,1049,Signature,Mastercard,698008,654484,Blocked,2025-10-11,2030-10-10
800315,1083,Gold,Visa,724638,508017,Expired,2023-12-02,2028-11-30
800316,1073,Classic,Mastercard,963621,658167,Blocked,2023-11-16,2028-11-14
800317,1162,Classic,Mastercard,682333,551104,Active,2022-05-24,2027-05-23
800318,1045,Classic,Visa,229343,35144,Expired,2022-09-28,2027-09-27
800319,1178,Platinum,Visa,389763,132891,Blocked,2025-07-01,2030-06-30
800320,1161,Signature,RuPay,837227,18687,Active,2022-02-01,2027-01-31
800321,1097,Signature,Visa,279112,92888,Blocked,2024-10-27,2029-10-26
800322,1130,Gold,RuPay,956169,206122,Blocked,2023-06-06,2028-06-04
800323,1006,Signature,RuPay,988138,785761,Active,2023-12-12,2028-12-10
800324,1058,Platinum,Visa,543716,500335,Active,2022-08-05,2027-08-04
800325,1017,Platinum,RuPay,816657,564968,Active,2024-02-27,2029-02-25
800326,1123,Platinum,Visa,440604,152811,Expired,2025-10-10,2030-10-09
800327,1056,Signature,Visa,190925,121590,Active,2021-08-27,2026-08-26
800328,1030,Signature,RuPay,579650,286390,Blocked,2025-06-26,2030-06-25
800329,1023,Gold,Visa,925832,823541,Active,2021-08-23,2026-08-22
800330,1142,Signature,RuPay,779099,761859,Active,2025-04-12,2030-04-11
800331,1085,Platinum,Visa,312102,232598,Expired,2023-09-13,2028-09-11
800332,1026,Gold,Visa,913270,26387,Blocked,2025-08-01,2030-07-31
800333,1118,Signature,RuPay,341361,196689,Active,2023-07-04,2028-07-02
800334,1069,Platinum,Visa,689817,422396,Blocked,2025-08-12,2030-08-11
800335,1087,Classic,RuPay,257029,48813,Active,2024-08-20,2029-08-19
800336,1035,Gold,Visa,935885,481026,Active,2025-03-25,2030-03-24
800337,1132,Gold,Visa,631418,423303,Active,2022-05-21,2027-05-20
800338,1002,Platinum,Mastercard,485842,392283,Blocked,2024-07-26,2029-07-25
800339,1155,Classic,Visa,779002,329630,Active,2022-11-29,2027-11-28
800340,1059,Gold,Mastercard,437348,56409,Blocked,2023-07-18,2028-07-16
800341,1142,Gold,Mastercard,482636,290421,Blocked,2026-07-26,2031-07-25
800342,1028,Platinum,Mastercard,117917,27149,Expired,2026-03-25,2031-03-24
800343,1064,Signature,RuPay,257482,245735,Active,2022-02-27,2027-02-26
800344,1089,Signature,RuPay,855305,160661,Blocked,2025-05-21,2030-05-20
800345,1173,Signature,Mastercard,765360,742130,Active,2022-04-01,2027-03-31
800346,1144,Gold,Visa,994209,705385,Active,2025-01-01,2029-12-31
800347,1086,Platinum,Mastercard,257594,60404,Expired,2024-12-28,2029-12-27
800348,1094,Gold,Mastercard,990098,183054,Active,2024-07-03,2029-07-02
800349,1125,Classic,Visa,159180,100243,Expired,2023-01-21,2028-01-20
800350,1012,Platinum,RuPay,580063,327443,Expired,2024-12-03,2029-12-02
800351,1016,Platinum,Visa,226316,178808,Expired,2023-01-07,2028-01-06
800352,1154,Classic,Visa,541668,74073,Active,2026-06-03,2031-06-02
800353,1126,Signature,Mastercard,490881,141734,Active,2023-10-15,2028-10-13
